"date_local","time_local","timestamp_iso","roundId","value","reason","url","pageTitle"
"2026-04-24","05:50:48","2026-04-24T05:50:48.730Z","26","5.95","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:51:03","2026-04-24T05:51:03.119Z","27","1.48","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:51:16","2026-04-24T05:51:16.321Z","28","1.18","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:51:33","2026-04-24T05:51:33.128Z","29","2.24","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:51:52","2026-04-24T05:51:52.320Z","30","3.25","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:52:08","2026-04-24T05:52:08.723Z","31","1.98","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:52:24","2026-04-24T05:52:24.715Z","32","1.87","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:52:37","2026-04-24T05:52:37.118Z","33","1.1","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:53:07","2026-04-24T05:53:07.519Z","34","12.99","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:53:23","2026-04-24T05:53:23.918Z","35","2.2","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:53:38","2026-04-24T05:53:38.723Z","36","1.5","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:53:51","2026-04-24T05:53:51.918Z","37","1.22","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:54:47","2026-04-24T05:54:47.556Z","1","2.54","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:55:24","2026-04-24T05:55:24.563Z","1","1.21","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:55:39","2026-04-24T05:55:39.760Z","2","1.84","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:56:56","2026-04-24T05:56:56.162Z","3","11.06","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
